15	10	E	-9153633.322695628	200
emissionprobs	13	4	H3k36me3	1	2.0017105061738847E-4
emissionprobs	13	5	H3k4me2	0	0.9974914826853027
emissionprobs	13	5	H3k4me2	1	0.0025085173146973147
emissionprobs	13	6	H3k4me3	0	0.998031744239356
emissionprobs	13	6	H3k4me3	1	0.001968255760643911
emissionprobs	13	7	H3k79me2	0	0.9909314895039032
emissionprobs	13	7	H3k79me2	1	0.009068510496096674
emissionprobs	13	8	H3k9ac	0	0.9888878721271356
emissionprobs	13	8	H3k9ac	1	0.011112127872864357
emissionprobs	13	9	H4k20me1	0	0.9173329598455932
emissionprobs	13	9	H4k20me1	1	0.08266704015440683
emissionprobs	14	0	H3k04me1	0	0.9956782866931517
emissionprobs	14	0	H3k04me1	1	0.004321713306848274
emissionprobs	14	1	H3k09me3	0	0.6588766269361184
emissionprobs	14	1	H3k09me3	1	0.3411233730638816
emissionprobs	14	2	H3k27ac	0	0.9958164507596471
emissionprobs	14	2	H3k27ac	1	0.004183549240352857
emissionprobs	14	3	H3k27me3	0	0.9757057603875486
emissionprobs	14	3	H3k27me3	1	0.024294239612451418
emissionprobs	14	4	H3k36me3	0	0.9863168546040713
emissionprobs	14	4	H3k36me3	1	0.013683145395928704
emissionprobs	14	5	H3k4me2	0	0.9972950210717364
emissionprobs	14	5	H3k4me2	1	0.0027049789282635314
emissionprobs	14	6	H3k4me3	0	0.9870609913072715
emissionprobs	14	6	H3k4me3	1	0.012939008692728479
emissionprobs	14	7	H3k79me2	0	0.9667011709418503
emissionprobs	14	7	H3k79me2	1	0.03329882905814967
emissionprobs	14	8	H3k9ac	0	0.9812137223901418
emissionprobs	14	8	H3k9ac	1	0.018786277609858158
emissionprobs	14	9	H4k20me1	0	0.8991660889580847
emissionprobs	14	9	H4k20me1	1	0.10083391104191528
emissionprobs	15	0	H3k04me1	0	0.9909198356313779
emissionprobs	15	0	H3k04me1	1	0.009080164368622246
emissionprobs	15	1	H3k09me3	0	0.9913312245462057
emissionprobs	15	1	H3k09me3	1	0.008668775453794282
emissionprobs	15	2	H3k27ac	0	0.9954693225287855
emissionprobs	15	2	H3k27ac	1	0.0045306774712145295
emissionprobs	15	3	H3k27me3	0	0.9971805366554692
emissionprobs	15	3	H3k27me3	1	0.0028194633445306734
emissionprobs	15	4	H3k36me3	0	0.5563397589038577
emissionprobs	15	4	H3k36me3	1	0.4436602410961422
emissionprobs	15	5	H3k4me2	0	0.998384490255253
emissionprobs	15	5	H3k4me2	1	0.001615509744746973
emissionprobs	15	6	H3k4me3	0	0.9978667487412535
emissionprobs	15	6	H3k4me3	1	0.002133251258746501
emissionprobs	15	7	H3k79me2	0	0.9370948583975489
emissionprobs	15	7	H3k79me2	1	0.06290514160245098
emissionprobs	15	8	H3k9ac	0	0.9844342544847711
emissionprobs	15	8	H3k9ac	1	0.015565745515228865
emissionprobs	15	9	H4k20me1	0	0.9100651697733801
emissionprobs	15	9	H4k20me1	1	0.08993483022661976
